epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
46,89.3261,0.92031,1.23039,1.42783,0.59111,0.48333,0.52724,0.31912,1.72003,1.73251,1.41126,2.96935e-05,2.96935e-05,2.96935e-05
47,91.2308,0.84413,0.86469,1.12182,0.58609,0.48333,0.52662,0.3112,1.71515,1.76117,1.40309,2.98114e-05,2.98114e-05,2.98114e-05
48,93.1089,0.73236,1.07547,1.13292,0.58609,0.48333,0.52662,0.3112,1.71515,1.76117,1.40309,2.99058e-05,2.99058e-05,2.99058e-05
49,95.0261,0.92128,1.16642,1.26313,0.60561,0.49749,0.52729,0.30912,1.73869,1.85178,1.41974,2.99766e-05,2.99766e-05,2.99766e-05
50,97.0313,0.82585,0.89871,1.18303,0.60561,0.49749,0.52729,0.30912,1.73869,1.85178,1.41974,3.00238e-05,3.00238e-05,3.00238e-05
51,98.9057,0.76808,1.06999,1.16132,0.60693,0.49745,0.52571,0.30501,1.72898,1.88618,1.42136,3.00475e-05,3.00475e-05,3.00475e-05
52,100.748,0.84315,0.914,1.18501,0.60693,0.49745,0.52571,0.30501,1.72898,1.88618,1.42136,3.00476e-05,3.00476e-05,3.00476e-05
53,102.612,0.66175,0.76907,1.18751,0.60693,0.49745,0.52571,0.30501,1.72898,1.88618,1.42136,3.00242e-05,3.00242e-05,3.00242e-05
54,104.512,0.82624,1.18312,1.24339,0.77135,0.49922,0.5265,0.30419,1.70293,1.92797,1.42099,2.99772e-05,2.99772e-05,2.99772e-05
55,106.363,0.90093,0.7884,1.18502,0.77135,0.49922,0.5265,0.30419,1.70293,1.92797,1.42099,2.99066e-05,2.99066e-05,2.99066e-05
56,108.213,0.81951,1.05026,1.14953,0.77135,0.49922,0.5265,0.30419,1.70293,1.92797,1.42099,2.98125e-05,2.98125e-05,2.98125e-05
57,110.13,0.63427,0.85789,1.06573,0.76298,0.5,0.52673,0.30694,1.65645,1.84742,1.38767,2.96948e-05,2.96948e-05,2.96948e-05
58,111.987,0.6855,0.73178,1.13389,0.76298,0.5,0.52673,0.30694,1.65645,1.84742,1.38767,2.95535e-05,2.95535e-05,2.95535e-05
59,113.829,0.80984,0.98501,1.22645,0.76298,0.5,0.52673,0.30694,1.65645,1.84742,1.38767,2.93887e-05,2.93887e-05,2.93887e-05
60,115.737,1.00868,1.11303,1.424,0.76243,0.5,0.52152,0.30194,1.6853,1.90674,1.40381,2.92003e-05,2.92003e-05,2.92003e-05
61,117.597,0.62683,0.80598,1.09216,0.76243,0.5,0.52152,0.30194,1.6853,1.90674,1.40381,2.89884e-05,2.89884e-05,2.89884e-05
62,119.437,0.65663,0.73762,1.12243,0.76243,0.5,0.52152,0.30194,1.6853,1.90674,1.40381,2.87529e-05,2.87529e-05,2.87529e-05
63,121.342,1.31838,1.67144,1.74142,0.76084,0.5,0.51938,0.30243,1.67499,1.94958,1.40088,2.84938e-05,2.84938e-05,2.84938e-05
64,123.208,0.78674,0.92391,1.14269,0.76084,0.5,0.51938,0.30243,1.67499,1.94958,1.40088,2.82112e-05,2.82112e-05,2.82112e-05
65,125.064,0.87015,0.72684,1.15168,0.76084,0.5,0.51938,0.30243,1.67499,1.94958,1.40088,2.7905e-05,2.7905e-05,2.7905e-05
66,126.955,0.71827,0.70522,1.16853,0.75999,0.5,0.51868,0.2987,1.73012,2.03909,1.42297,2.75753e-05,2.75753e-05,2.75753e-05
67,128.821,0.67897,0.59047,1.04,0.75999,0.5,0.51868,0.2987,1.73012,2.03909,1.42297,2.7222e-05,2.7222e-05,2.7222e-05
68,130.681,0.88973,1.01661,1.23899,0.75999,0.5,0.51868,0.2987,1.73012,2.03909,1.42297,2.68451e-05,2.68451e-05,2.68451e-05
69,132.555,0.74423,0.72721,1.15594,0.76344,0.5,0.51897,0.28834,1.73168,2.02743,1.41857,2.64447e-05,2.64447e-05,2.64447e-05
70,134.414,1.09493,1.24918,1.50542,0.76344,0.5,0.51897,0.28834,1.73168,2.02743,1.41857,2.60207e-05,2.60207e-05,2.60207e-05
71,136.296,0.61992,0.66372,1.016,0.76344,0.5,0.51897,0.28834,1.73168,2.02743,1.41857,2.55731e-05,2.55731e-05,2.55731e-05
72,138.186,0.81191,0.60631,1.03899,0.67576,0.45291,0.47626,0.29082,1.74127,2.06362,1.42034,2.5102e-05,2.5102e-05,2.5102e-05
73,140.028,0.69556,0.84362,1.11592,0.67576,0.45291,0.47626,0.29082,1.74127,2.06362,1.42034,2.46073e-05,2.46073e-05,2.46073e-05
74,141.872,0.77566,0.75013,1.15478,0.67576,0.45291,0.47626,0.29082,1.74127,2.06362,1.42034,2.40891e-05,2.40891e-05,2.40891e-05
75,143.775,0.88366,0.758,1.33001,0.67947,0.45303,0.47602,0.28673,1.75643,2.12568,1.43993,2.35472e-05,2.35472e-05,2.35472e-05
76,145.618,0.65876,0.61462,1.06677,0.67947,0.45303,0.47602,0.28673,1.75643,2.12568,1.43993,2.29819e-05,2.29819e-05,2.29819e-05
77,147.472,0.75446,0.70825,1.16366,0.67947,0.45303,0.47602,0.28673,1.75643,2.12568,1.43993,2.23929e-05,2.23929e-05,2.23929e-05
78,149.371,0.85457,1.09616,1.24325,0.89169,0.37859,0.46213,0.28256,1.79202,2.18762,1.47322,2.17805e-05,2.17805e-05,2.17805e-05
79,151.205,0.65208,0.65874,1.03985,0.89169,0.37859,0.46213,0.28256,1.79202,2.18762,1.47322,2.11444e-05,2.11444e-05,2.11444e-05
80,153.029,0.64336,0.58674,0.99806,0.89169,0.37859,0.46213,0.28256,1.79202,2.18762,1.47322,2.04848e-05,2.04848e-05,2.04848e-05
81,154.88,0.67347,0.8614,1.20055,0.89331,0.37859,0.46137,0.28225,1.79687,2.24307,1.48502,1.98016e-05,1.98016e-05,1.98016e-05
82,156.708,0.63489,0.51263,1.09528,0.89331,0.37859,0.46137,0.28225,1.79687,2.24307,1.48502,1.90949e-05,1.90949e-05,1.90949e-05
83,158.544,0.74321,0.86903,1.13565,0.89331,0.37859,0.46137,0.28225,1.79687,2.24307,1.48502,1.83646e-05,1.83646e-05,1.83646e-05
84,160.406,0.50588,0.54546,1.02182,0.69012,0.45319,0.47494,0.29126,1.83432,2.23262,1.5035,1.76107e-05,1.76107e-05,1.76107e-05
85,162.254,0.66921,0.82105,1.06605,0.69012,0.45319,0.47494,0.29126,1.83432,2.23262,1.5035,1.68333e-05,1.68333e-05,1.68333e-05
86,164.081,0.90788,0.95198,1.42065,0.69012,0.45319,0.47494,0.29126,1.83432,2.23262,1.5035,1.60323e-05,1.60323e-05,1.60323e-05
87,165.931,0.85273,0.92817,1.24185,0.69012,0.45319,0.47494,0.29126,1.83432,2.23262,1.5035,1.52077e-05,1.52077e-05,1.52077e-05
88,167.823,0.78634,0.63536,1.23757,0.69269,0.45314,0.47737,0.30468,1.82735,2.1781,1.49703,1.43596e-05,1.43596e-05,1.43596e-05
89,169.664,0.85175,0.88337,1.21681,0.69269,0.45314,0.47737,0.30468,1.82735,2.1781,1.49703,1.34879e-05,1.34879e-05,1.34879e-05
90,171.518,0.70484,0.78576,1.05343,0.69269,0.45314,0.47737,0.30468,1.82735,2.1781,1.49703,1.25927e-05,1.25927e-05,1.25927e-05
91,173.382,0.53224,0.58212,1.1339,0.69269,0.45314,0.47737,0.30468,1.82735,2.1781,1.49703,1.16739e-05,1.16739e-05,1.16739e-05
92,175.271,0.46348,0.43549,0.86941,0.77152,0.5,0.5135,0.30685,1.80845,2.20129,1.47803,1.07315e-05,1.07315e-05,1.07315e-05
93,177.118,0.6112,0.50895,1.22441,0.77152,0.5,0.5135,0.30685,1.80845,2.20129,1.47803,9.76562e-06,9.76562e-06,9.76562e-06
94,178.97,0.60281,0.49111,1.0155,0.77152,0.5,0.5135,0.30685,1.80845,2.20129,1.47803,8.77613e-06,8.77613e-06,8.77613e-06
95,180.807,0.75417,0.67122,1.25975,0.77152,0.5,0.5135,0.30685,1.80845,2.20129,1.47803,7.76308e-06,7.76308e-06,7.76308e-06
96,182.684,0.54723,0.58036,1.03877,0.75778,0.5,0.51468,0.29825,1.76735,2.14487,1.45168,6.72648e-06,6.72648e-06,6.72648e-06
97,184.515,0.4815,0.49114,0.94204,0.75778,0.5,0.51468,0.29825,1.76735,2.14487,1.45168,5.6663e-06,5.6663e-06,5.6663e-06
98,186.351,0.61463,0.52455,1.12358,0.75778,0.5,0.51468,0.29825,1.76735,2.14487,1.45168,4.58257e-06,4.58257e-06,4.58257e-06
99,188.211,0.50353,0.42366,0.91712,0.75778,0.5,0.51468,0.29825,1.76735,2.14487,1.45168,3.47528e-06,3.47528e-06,3.47528e-06
100,190.096,0.48697,0.44655,0.93934,0.77777,0.5,0.51238,0.31453,1.77937,2.26242,1.47317,2.34442e-06,2.34442e-06,2.34442e-06
